City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
665,Nisia Floresta,BR,88.61,light rain,-6.0911,-35.2086,Rancho Crepusculo
668,Rio Cuarto,AR,74.48,clear sky,-33.1307,-64.3499,Hotel Menossi
677,Pemex,MX,89.92,clear sky,18.4395,-96.3461,Hotel Alquimia Premier
678,Nhulunbuy,AU,77.61,moderate rain,-12.2333,136.7667,East Arnhem Real Estate
679,Santa Rosalia,MX,76.78,few clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
692,Noumea,NC,77.0,few clouds,-22.2763,166.4572,Hôtel Le Lagon
693,Ambilobe,MG,77.72,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
694,Mazagao,BR,82.45,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
700,Moyale,KE,78.39,overcast clouds,3.5167,39.0584,La Tahzan Guest House
702,Seminole,US,84.34,scattered clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering
703,Waddan,LY,75.27,clear sky,29.1614,16.139,محل الشريف محمد العايب
